rank,programme_name,institution,job_title,job_url,hybrid_score,semantic_score,top_skill_gaps
3,Information Technologies,Vilnius University,IT Sistemų administratorius (-ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-alytuje/1-13705077,0.2233,0.5488,
4,Information Technologies,Vilnius University,System Analyst (IT department),https://en.cvbankas.lt/system-analyst-it-department-vilniuje/1-13759517,0.1851,0.5508,
5,Information Technologies,Vilnius University,IT SUPPORTER with development opportunity in Data Integration,https://en.cvbankas.lt/it-supporter-with-development-opportunity-in-data-integration-marijampoleje/1-13685295,0.1721,0.57,
6,Information Technologies,Vilnius University,Programų priežiūros administratorius (-ė),https://en.cvbankas.lt/programu-prieziuros-administratorius-e-kaune/1-13656395,0.1643,0.5508,
7,Information Technologies,Vilnius University,Vyr. sistemų analitikas (-ė) (Gyventojų registrui),https://en.cvbankas.lt/vyr-sistemu-analitikas-e-gyventoju-registrui-vilniuje/1-13737929,0.1604,0.5855,design thinking; morality; manage time
8,Information Technologies,Vilnius University,IT projektų administratorius (-ė) / Verslo sistemų analitikas (-ė),https://en.cvbankas.lt/it-projektu-administratorius-e-verslo-sistemu-analitikas-e-klaipedoje/1-13749007,0.1585,0.6197,
9,Information Technologies,Vilnius University,Duomenų analitikas (-ė) - inžinierius (-ė),https://en.cvbankas.lt/duomenu-analitikas-e-inzinierius-e-kaune/1-13743279,0.1447,0.5496,
10,Information Technologies,Vilnius University,"IT projektų vadovė (-as) (IT / OT, ICS / SCADA sritis)",https://en.cvbankas.lt/it-projektu-vadove-as-it-ot-ics-scada-sritis-vilniuje/1-13640803,0.1296,0.5814,
1,Informatics,Kaunas University of Technology,IT sistemų administratorius (-ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.2624,0.5228,
2,Informatics,Kaunas University of Technology,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.1536,0.5102,
